gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 30.0 30.0 5.0 5.0 4.0
2 30.0 30.0 5.0 5.0 4.0
3 30.0 30.0 5.0 5.0 4.0
4 30.0 30.0 5.0 5.0 4.0
5 30.0 30.0 5.0 5.0 4.0
6 30.0 30.0 5.0 5.0 4.0
7 30.0 30.0 5.0 5.0 4.0
8 30.0 30.0 5.0 5.0 4.0
9 42.0 42.0 3.0 3.0 4.0
10 42.0 42.0 3.0 3.0 4.0
11 42.0 42.0 3.0 3.0 4.0
12 42.0 42.0 3.0 3.0 4.0
13 42.0 42.0 3.0 3.0 4.0
14 42.0 42.0 3.0 3.0 4.0
15 42.0 42.0 3.0 3.0 4.0
16 42.0 42.0 3.0 3.0 4.0
17 42.0 42.0 3.0 3.0 4.0
18 42.0 42.0 3.0 3.0 4.0
19 45.0 45.0 3.0 3.0 4.0
20 45.0 45.0 3.0 3.0 4.0
21 60.0 60.0 0.0 0.0 4.0
22 60.0 60.0 0.0 0.0 4.0
23 60.0 60.0 0.0 0.0 4.0
24 60.0 60.0 0.0 0.0 4.0
25 60.0 60.0 0.0 0.0 4.0
26 60.0 60.0 0.0 0.0 4.0
27 60.0 60.0 0.0 0.0 4.0
28 60.0 60.0 0.0 0.0 4.0
29 60.0 60.0 0.0 0.0 4.0
30 60.0 60.0 0.0 0.0 4.0
31 60.0 60.0 0.0 0.0 4.0
32 60.0 60.0 0.0 0.0 4.0
33 60.0 60.0 0.0 0.0 4.0
34 60.0 60.0 0.0 0.0 4.0
35 60.0 60.0 0.0 0.0 4.0
36 60.0 60.0 0.0 0.0 4.0
37 60.0 60.0 0.0 0.0 4.0
38 60.0 60.0 0.0 0.0 4.0
39 60.0 60.0 0.0 0.0 4.0
40 60.0 60.0 0.0 0.0 4.0
41 60.0 60.0 0.0 0.0 4.0
42 60.0 60.0 0.0 0.0 4.0
43 60.0 60.0 0.0 0.0 4.0
44 60.0 60.0 0.0 0.0 4.0
45 60.0 60.0 0.0 0.0 4.0
46 60.0 60.0 0.0 0.0 4.0
47 60.0 60.0 0.0 0.0 4.0
48 60.0 60.0 0.0 0.0 4.0
49 60.0 60.0 0.0 0.0 4.0
50 60.0 60.0 0.0 0.0 4.0
51 60.0 60.0 0.0 0.0 4.0
52 60.0 60.0 0.0 0.0 4.0
53 60.0 60.0 0.0 0.0 4.0
54 60.0 60.0 0.0 0.0 4.0
55 60.0 60.0 0.0 0.0 4.0
56 60.0 60.0 0.0 0.0 4.0
57 60.0 60.0 0.0 0.0 4.0
58 60.0 60.0 0.0 0.0 4.0
59 60.0 60.0 0.0 0.0 4.0
60 60.0 60.0 0.0 0.0 4.0
61 60.0 60.0 0.0 0.0 4.0
62 60.0 60.0 0.0 0.0 4.0
63 60.0 60.0 0.0 0.0 4.0
64 60.0 60.0 0.0 0.0 4.0
65 60.0 60.0 0.0 0.0 4.0
66 60.0 60.0 0.0 0.0 4.0
67 60.0 60.0 0.0 0.0 4.0
68 60.0 60.0 0.0 0.0 4.0
69 60.0 60.0 0.0 0.0 4.0
70 60.0 60.0 0.0 0.0 4.0
71 60.0 60.0 0.0 0.0 4.0
72 60.0 60.0 0.0 0.0 4.0
73 60.0 60.0 0.0 0.0 4.0
74 60.0 60.0 0.0 0.0 4.0
75 60.0 60.0 0.0 0.0 4.0
76 60.0 60.0 0.0 0.0 4.0
77 65.0 65.0 0.0 0.0 4.0
78 65.0 65.0 0.0 0.0 4.0
79 65.0 65.0 0.0 0.0 4.0
80 65.0 65.0 0.0 0.0 4.0
